Site,Catchment,MCI.Collection.Method,MCI.Collection.Method.2
Anaura Stream at Skudders Road,,,
Aniwaniwa Stream at Aniwaniwa,,,
Aropaoanui River at Aropaoanui,Aropaoanui River,Macroinveretebrate protocol C3 - hard bottom,
Awanui Stream at Flume,Clive River,Macroinvertebrate protocol C4 - soft bottom,
Black Stream U/S Kahahakuri Confluence,Tukituki River,,
Clive River U/S Whakatu Rail Bridge,Clive River,Macroinvertebrate protocol C4 - soft bottom,
Coops Stream U/S Whangawehi,Whangawehi Stream,,
Esk River at Berry Road,Esk River,Macroinveretebrate protocol C3 - hard bottom,
Esk River at Waipunga Bridge,Esk River,Macroinveretebrate protocol C3 - hard bottom,
Hangaroa River at Doneraille Park,Wairoa River,Macroinveretebrate protocol C3 - hard bottom,
Hawea Stream U/S Tukituki,Tukituki River,Macroinvertebrate protocol C4 - soft bottom,
Herehere Stream at Te Aute Road,Clive River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Irongate Stream at Clarkes Weir,,,
Irongate Stream at Riverslea Road,,,
Kahahakuri Stream at Ongaonga Rd Br.,Tukituki River,,
Kahahakuri Stream at Plantation Rd Br,Tukituki River,,
Kahahakuri Stream at S.H.50,Tukituki River,,
Kahahakuri Stream Trib at McLeod Rd Bridge,Tukituki River,,
Kahahakuri Stream Trib at McLeod Rd Woodfields,Tukituki River,,
Kahahakuri Stream Trib at Springhill Reseve McLeod Rd,Tukituki River,,
Kahahakuri Stream U/S Tukituki Confl,Tukituki River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Kahahakuri Trib at Chestermans Bridge,Tukituki River,,
Kahahakuri Trib at Plantation Rd,Tukituki River,,
Karewarewa Stream at Paki Paki,Clive River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Kioreau Stream at Porangahau Road,Tukituki River,,
Kopuawhara Stream at Railway Bridge,Minor Coastal,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Lake Hatuma Tributary at Racecourse,,,
Maharakeke Stream at State Highway 2 Br,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Mahiaruhe Stream at Tutira Outlet S.H.2,Aropaoanui River,Macroinvertebrate protocol C4 - soft bottom,
Makara Stream at St Lawrence Road,Tukituki River,Macroinvertebrate protocol C4 - soft bottom,
Makara Stream U/S Tukituki,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Makaretu Stream at Speedy Rd Bridge Gw8,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Makaretu Stream at State Highway 50,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Makaroro River at Burnt Bridge,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Mangakuri River at Kairakau,Minor Coastal,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Mangamahaki Stream at Tamumu,Tukituki River,Macroinvertebrate protocol C4 - soft bottom,
Mangaone River at Rissington,Tutaekuri River,Macroinveretebrate protocol C3 - hard bottom,
Mangaonuku Stream at Waipawa Tikokino Rd,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Mangaorapa Stream at Mangaorapa Road,Porangahau River,Macroinveretebrate protocol C3 - hard bottom,
Mangapoike River at Suspension Bridge,Wairoa River,Macroinveretebrate protocol C3 - hard bottom,
Mangarara Stream U/S Tukituki,Tukituki River,Macroinvertebrate protocol C4 - soft bottom,
Mangarau Stream at Keirunga Road,,,
Mangarau Stream at Te Aute Road,,,
Mangatarata Stream at Mangatarata Road,Tukituki River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Mangatupae Stream at Pat OBrians,Whangawehi Stream,,
Mangatutu Stream at Mangatutu Stn Br,Mangatutu Stream,Macroinveretebrate protocol C3 - hard bottom,
Maraekakaho Stream at Maraekakaho,Ngaruroro River,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Maraetotara River at Te Awanga,Maraetotara River,Macroinveretebrate protocol C3 - hard bottom,
Maraetotara River at Waimarama Road,Maraetotara River,Macroinveretebrate protocol C3 - hard bottom,
Mohaka River at Raupunga,Mohaka River,Macroinveretebrate protocol C3 - hard bottom,
Mohaka River at Willowflat,Mohaka River,,
Mohaka River D/S Ripia River,Mohaka River,Macroinveretebrate protocol C3 - hard bottom,
Mohaka River D/S Taharua,Mohaka River,Macroinveretebrate protocol C3 - hard bottom,
Mohaka River D/S Waipunga River,Mohaka River,Macroinveretebrate protocol C3 - hard bottom,
